data_points,pair_l,mean_shape,difference,division,f1,recall,precision,accuracy
100,"((7, 7), 0, 0.2)","(7, 7)",0,0.2,0,0,0,0.5
100,"((7, 7), 0, 0.5)","(7, 7)",0,0.5,0.603076923,0.49,0.784,0.6775
100,"((7, 7), 0, 1)","(7, 7)",0,1,0.650537634,0.605,0.703488372,0.675
100,"((7, 7), 0, 1.2)","(7, 7)",0,1.2,0.75443038,0.745,0.764102564,0.7575
100,"((7, 7), 0, 1.5)","(7, 7)",0,1.5,0.83627204,0.83,0.842639594,0.8375
100,"((7, 7), 0, 2)","(7, 7)",0,2,0.844868735,0.885,0.808219178,0.8375
100,"((7, 7), 0, 2.3)","(7, 7)",0,2.3,0.845605701,0.89,0.805429864,0.8375
100,"((7, 7), 0, 2.5)","(7, 7)",0,2.5,0.84754522,0.82,0.877005348,0.8525
100,"((7, 7), 5, 0.2)","(7, 7)",5,0.2,0,0,0,0.5
100,"((7, 7), 5, 0.5)","(7, 7)",5,0.5,0.603076923,0.49,0.784,0.6775
100,"((7, 7), 5, 1)","(7, 7)",5,1,0.650537634,0.605,0.703488372,0.675
100,"((7, 7), 5, 1.2)","(7, 7)",5,1.2,0.75443038,0.745,0.764102564,0.7575
100,"((7, 7), 5, 1.5)","(7, 7)",5,1.5,0.83627204,0.83,0.842639594,0.8375
100,"((7, 7), 5, 2)","(7, 7)",5,2,0.844868735,0.885,0.808219178,0.8375
100,"((7, 7), 5, 2.3)","(7, 7)",5,2.3,0.845605701,0.89,0.805429864,0.8375
100,"((7, 7), 5, 2.5)","(7, 7)",5,2.5,0.84754522,0.82,0.877005348,0.8525
100,"((7, 7), 10, 0.2)","(7, 7)",10,0.2,0,0,0,0.5
100,"((7, 7), 10, 0.5)","(7, 7)",10,0.5,0.631268437,0.535,0.769784173,0.6875
100,"((7, 7), 10, 1)","(7, 7)",10,1,0.685714286,0.6,0.8,0.725
100,"((7, 7), 10, 1.2)","(7, 7)",10,1.2,0.770053476,0.72,0.827586207,0.785
100,"((7, 7), 10, 1.5)","(7, 7)",10,1.5,0.813648294,0.775,0.856353591,0.8225
100,"((7, 7), 10, 2)","(7, 7)",10,2,0.885496183,0.87,0.901554404,0.8875
100,"((7, 7), 10, 2.3)","(7, 7)",10,2.3,0.875305623,0.895,0.85645933,0.8725
100,"((7, 7), 10, 2.5)","(7, 7)",10,2.5,0.862337662,0.83,0.897297297,0.8675
100,"((7, 7), 15, 0.2)","(7, 7)",15,0.2,0,0,0,0.5
100,"((7, 7), 15, 0.5)","(7, 7)",15,0.5,0.632218845,0.52,0.80620155,0.6975
100,"((7, 7), 15, 1)","(7, 7)",15,1,0.766756032,0.715,0.826589595,0.7825
100,"((7, 7), 15, 1.2)","(7, 7)",15,1.2,0.864583333,0.83,0.902173913,0.87
100,"((7, 7), 15, 1.5)","(7, 7)",15,1.5,0.838046272,0.815,0.862433862,0.8425
100,"((7, 7), 15, 2)","(7, 7)",15,2,0.917293233,0.915,0.91959799,0.9175
100,"((7, 7), 15, 2.3)","(7, 7)",15,2.3,0.885572139,0.89,0.881188119,0.885
100,"((7, 7), 15, 2.5)","(7, 7)",15,2.5,0.897243108,0.895,0.899497487,0.8975
100,"((7, 7), 20, 0.2)","(7, 7)",20,0.2,0,0,0,0.5
100,"((7, 7), 20, 0.5)","(7, 7)",20,0.5,0.844919786,0.79,0.908045977,0.855
100,"((7, 7), 20, 1)","(7, 7)",20,1,0.903896104,0.87,0.940540541,0.9075
100,"((7, 7), 20, 1.2)","(7, 7)",20,1.2,0.886010363,0.855,0.919354839,0.89
100,"((7, 7), 20, 1.5)","(7, 7)",20,1.5,0.927835052,0.9,0.957446809,0.93
100,"((7, 7), 20, 2)","(7, 7)",20,2,0.941772152,0.93,0.953846154,0.9425
100,"((7, 7), 20, 2.3)","(7, 7)",20,2.3,0.936708861,0.925,0.948717949,0.9375
100,"((7, 7), 20, 2.5)","(7, 7)",20,2.5,0.947103275,0.94,0.954314721,0.9475
100,"((7, 7), 25, 0.2)","(7, 7)",25,0.2,0,0,0,0.5
100,"((7, 7), 25, 0.5)","(7, 7)",25,0.5,0.975,0.975,0.975,0.975
100,"((7, 7), 25, 1)","(7, 7)",25,1,0.97,0.97,0.97,0.97
100,"((7, 7), 25, 1.2)","(7, 7)",25,1.2,0.956743003,0.94,0.974093264,0.9575
100,"((7, 7), 25, 1.5)","(7, 7)",25,1.5,0.951653944,0.935,0.968911917,0.9525
100,"((7, 7), 25, 2)","(7, 7)",25,2,0.956743003,0.94,0.974093264,0.9575
100,"((7, 7), 25, 2.3)","(7, 7)",25,2.3,0.959390863,0.945,0.974226804,0.96
100,"((7, 7), 25, 2.5)","(7, 7)",25,2.5,0.967418546,0.965,0.969849246,0.9675
100,"((7, 7), 30, 0.2)","(7, 7)",30,0.2,0,0,0,0.5
100,"((7, 7), 30, 0.5)","(7, 7)",30,0.5,0.950131234,0.905,1,0.9525
100,"((7, 7), 30, 1)","(7, 7)",30,1,0.955613577,0.915,1,0.9575
100,"((7, 7), 30, 1.2)","(7, 7)",30,1.2,0.947368421,0.9,1,0.95
100,"((7, 7), 30, 1.5)","(7, 7)",30,1.5,0.955613577,0.915,1,0.9575
100,"((7, 7), 30, 2)","(7, 7)",30,2,0.955613577,0.915,1,0.9575
100,"((7, 7), 30, 2.3)","(7, 7)",30,2.3,0.958333333,0.92,1,0.96
100,"((7, 7), 30, 2.5)","(7, 7)",30,2.5,0.961038961,0.925,1,0.9625
100,"((7, 7), 35, 0.2)","(7, 7)",35,0.2,0,0,0,0.5
100,"((7, 7), 35, 0.5)","(7, 7)",35,0.5,0.910081744,0.835,1,0.9175
100,"((7, 7), 35, 1)","(7, 7)",35,1,0.91598916,0.845,1,0.9225
100,"((7, 7), 35, 1.2)","(7, 7)",35,1.2,0.907103825,0.83,1,0.915
100,"((7, 7), 35, 1.5)","(7, 7)",35,1.5,0.91598916,0.845,1,0.9225
100,"((7, 7), 35, 2)","(7, 7)",35,2,0.91598916,0.845,1,0.9225
100,"((7, 7), 35, 2.3)","(7, 7)",35,2.3,0.918918919,0.85,1,0.925
100,"((7, 7), 35, 2.5)","(7, 7)",35,2.5,0.918918919,0.85,1,0.925
100,"((7, 7), 40, 0.2)","(7, 7)",40,0.2,0,0,0,0.5
100,"((7, 7), 40, 0.5)","(7, 7)",40,0.5,0.773006135,0.63,1,0.815
100,"((7, 7), 40, 1)","(7, 7)",40,1,0.816568047,0.69,1,0.845
100,"((7, 7), 40, 1.2)","(7, 7)",40,1.2,0.823529412,0.7,1,0.85
100,"((7, 7), 40, 1.5)","(7, 7)",40,1.5,0.833819242,0.715,1,0.8575
100,"((7, 7), 40, 2)","(7, 7)",40,2,0.833819242,0.715,1,0.8575
100,"((7, 7), 40, 2.3)","(7, 7)",40,2.3,0.837209302,0.72,1,0.86
100,"((7, 7), 40, 2.5)","(7, 7)",40,2.5,0.837209302,0.72,1,0.86
