,data_points,pair_l,mean_shape,difference,division,f1,recall,precision,accuracy
0,500,"((7, 7), 0, 0.2)","(7, 7)",0,0.2,0.5783132530120482,0.48,0.7272727272727273,0.65
1,500,"((7, 7), 0, 0.5)","(7, 7)",0,0.5,0.7710144927536232,0.665,0.9172413793103448,0.8025
2,500,"((7, 7), 0, 1)","(7, 7)",0,1.0,0.7356948228882835,0.675,0.8083832335329342,0.7575
3,500,"((7, 7), 0, 1.2)","(7, 7)",0,1.2,0.8144329896907218,0.79,0.8404255319148937,0.82
4,500,"((7, 7), 0, 1.5)","(7, 7)",0,1.5,0.8310991957104559,0.775,0.8959537572254336,0.8425
5,500,"((7, 7), 0, 2)","(7, 7)",0,2.0,0.8653846153846153,0.9,0.8333333333333334,0.86
6,500,"((7, 7), 0, 2.3)","(7, 7)",0,2.3,0.8660287081339714,0.905,0.8302752293577982,0.86
7,500,"((7, 7), 0, 2.5)","(7, 7)",0,2.5,0.8765743073047859,0.87,0.883248730964467,0.8775
8,500,"((7, 7), 5, 0.2)","(7, 7)",5,0.2,0.5783132530120482,0.48,0.7272727272727273,0.65
9,500,"((7, 7), 5, 0.5)","(7, 7)",5,0.5,0.7710144927536232,0.665,0.9172413793103448,0.8025
10,500,"((7, 7), 5, 1)","(7, 7)",5,1.0,0.7356948228882835,0.675,0.8083832335329342,0.7575
11,500,"((7, 7), 5, 1.2)","(7, 7)",5,1.2,0.8144329896907218,0.79,0.8404255319148937,0.82
12,500,"((7, 7), 5, 1.5)","(7, 7)",5,1.5,0.8310991957104559,0.775,0.8959537572254336,0.8425
13,500,"((7, 7), 5, 2)","(7, 7)",5,2.0,0.8653846153846153,0.9,0.8333333333333334,0.86
14,500,"((7, 7), 5, 2.3)","(7, 7)",5,2.3,0.8660287081339714,0.905,0.8302752293577982,0.86
15,500,"((7, 7), 5, 2.5)","(7, 7)",5,2.5,0.8765743073047859,0.87,0.883248730964467,0.8775
16,500,"((7, 7), 10, 0.2)","(7, 7)",10,0.2,0.5791044776119403,0.485,0.7185185185185186,0.6475
17,500,"((7, 7), 10, 0.5)","(7, 7)",10,0.5,0.7917888563049854,0.675,0.9574468085106383,0.8225
18,500,"((7, 7), 10, 1)","(7, 7)",10,1.0,0.7222222222222223,0.65,0.8125,0.75
19,500,"((7, 7), 10, 1.2)","(7, 7)",10,1.2,0.8288770053475936,0.775,0.8908045977011494,0.84
20,500,"((7, 7), 10, 1.5)","(7, 7)",10,1.5,0.8216216216216216,0.76,0.8941176470588236,0.835
21,500,"((7, 7), 10, 2)","(7, 7)",10,2.0,0.8793969849246231,0.875,0.8838383838383839,0.88
22,500,"((7, 7), 10, 2.3)","(7, 7)",10,2.3,0.8938271604938272,0.905,0.8829268292682927,0.8925
23,500,"((7, 7), 10, 2.5)","(7, 7)",10,2.5,0.8733850129198966,0.845,0.9037433155080213,0.8775
24,500,"((7, 7), 15, 0.2)","(7, 7)",15,0.2,0.5835866261398176,0.48,0.7441860465116279,0.6575
25,500,"((7, 7), 15, 0.5)","(7, 7)",15,0.5,0.7836257309941521,0.67,0.9436619718309859,0.815
26,500,"((7, 7), 15, 1)","(7, 7)",15,1.0,0.8053333333333333,0.755,0.8628571428571429,0.8175
27,500,"((7, 7), 15, 1.2)","(7, 7)",15,1.2,0.8753315649867374,0.825,0.9322033898305084,0.8825
28,500,"((7, 7), 15, 1.5)","(7, 7)",15,1.5,0.8713910761154855,0.83,0.9171270718232044,0.8775
29,500,"((7, 7), 15, 2)","(7, 7)",15,2.0,0.9303482587064678,0.935,0.9257425742574258,0.93
30,500,"((7, 7), 15, 2.3)","(7, 7)",15,2.3,0.9393939393939393,0.93,0.9489795918367347,0.94
