kernel,div,area,length,radius
"(10, 10)","0.4, 0.5, 0.7","6, 8","21, 23, 25, 27, 29","5, 6, 7, 8, 9"
"(12, 12)","0.4, 0.5, 0.7","6, 8","21, 23, 25, 27, 29","5, 6, 7, 8, 9"
"(14, 14)","0.4, 0.5, 0.7","6, 8","21, 23, 25, 27, 29","5, 6, 7, 8, 9"
"(16, 16)","0.4, 0.5, 0.7","6, 8","21, 23, 25, 27, 29","5, 6, 7, 8, 9"
"(18, 18)","0.4, 0.5, 0.7","6, 8","21, 23, 25, 27, 29","5, 6, 7, 8, 9"
"(20, 20)","0.4, 0.5, 0.7","6, 8","21, 23, 25, 27, 29","5, 6, 7, 8, 9"
"(22, 22)","0.4, 0.5, 0.7","6, 8","21, 23, 25, 27, 29","5, 6, 7, 8, 9"
"(24, 24)","0.4, 0.5, 0.7","6, 8","21, 23, 25, 27, 29","5, 6, 7, 8, 9"
"(25, 25)","0.85, 1.0, 0.4, 0.7, 1.2","10, 12, 14, 16, 18, 8","30, 32, 34, 36, 38, 25, 28, 31, 37, 40, 43","10, 11, 12, 13, 14, 6, 8, 16, 18, 20"
"(28, 28)","0.4, 0.7, 1.2","8, 10, 12","25, 28, 31, 34, 37, 40, 43","6, 8, 10, 12, 14, 16, 18, 20"
"(30, 30)","1.5, 2.0","8, 10, 12","25, 27, 29, 31, 33","8, 10, 12"
"(31, 31)","0.4, 0.7, 1.2","8, 10, 12","25, 28, 31, 34, 37, 40, 43","6, 8, 10, 12, 14, 16, 18, 20"
"(32, 32)","1.5, 2.0","8, 10, 12","25, 27, 29, 31, 33","8, 10, 12"
"(34, 34)","1.5, 2.0, 0.4, 0.7, 1.2","8, 10, 12","25, 27, 29, 31, 33, 28, 34, 37, 40, 43","8, 10, 12, 6, 14, 16, 18, 20"
"(37, 37)","0.7, 1.2, 0.4","8, 10, 12","37, 40, 43, 25, 28, 31, 34","14, 16, 18, 20, 6, 8, 10, 12"
